CpG_chrm	CpG_beg	CpG_end	beta
chr1	861885.0	861887.0	0.82
chr1	864878.0	864880.0	0.83
chr1	865012.0	865014.0	0.6
chr1	865859.0	865861.0	0.43
chr1	867937.0	867939.0	0.37
chr1	869345.0	869347.0	0.21
chr1	869367.0	869369.0	0.3
chr1	870790.0	870792.0	0.21
chr1	870809.0	870811.0	0.53
chr1	870957.0	870959.0	0.45
chr1	871032.0	871034.0	0.78
chr1	871056.0	871058.0	0.84
chr1	871440.0	871442.0	0.65
chr1	871545.0	871547.0	0.9
chr1	871979.0	871981.0	0.57
chr1	872234.0	872236.0	0.09
chr1	872384.0	872386.0	0.03
chr1	874696.0	874698.0	0.02
chr1	874895.0	874897.0	0.25
chr1	875344.0	875346.0	0.07
chr1	875879.0	875881.0	0.02
chr1	876198.0	876200.0	0.02
chr1	876248.0	876250.0	0.04
chr1	876550.0	876552.0	0.09
chr1	876869.0	876871.0	0.08
chr1	876992.0	876994.0	0.91
chr1	877488.0	877490.0	0.96
chr1	877640.0	877642.0	0.63
chr1	877646.0	877648.0	0.59
chr1	879374.0	879376.0	0.79
chr1	879382.0	879384.0	0.78
chr1	879414.0	879416.0	0.86
chr1	879957.0	879959.0	0.89
chr1	880915.0	880917.0	0.96
chr1	882545.0	882547.0	0.86
chr1	883537.0	883539.0	0.96
chr1	884868.0	884870.0	0.97
chr1	884963.0	884965.0	0.83
chr1	886418.0	886420.0	0.89
chr1	886440.0	886442.0	0.97
chr1	886542.0	886544.0	0.87
chr1	889214.0	889216.0	0.94
chr1	891192.0	891194.0	0.03
chr1	892703.0	892705.0	0.03
chr1	892856.0	892858.0	0.03
chr1	892913.0	892915.0	0.02
chr1	892947.0	892949.0	0.04
chr1	894055.0	894057.0	0.03
chr1	894586.0	894588.0	0.4
chr1	894600.0	894602.0	0.02
chr1	894953.0	894955.0	0.28
chr1	895140.0	895142.0	0.01
chr1	895412.0	895414.0	0.03
chr1	895868.0	895870.0	0.07
chr1	895987.0	895989.0	0.63
chr1	896225.0	896227.0	0.81
chr1	896304.0	896306.0	0.88
chr1	896309.0	896311.0	0.9
chr1	896315.0	896317.0	0.94
chr1	896762.0	896764.0	0.94
chr1	897589.0	897591.0	0.9
chr1	897948.0	897950.0	0.92
chr1	898851.0	898853.0	0.94
chr1	898999.0	899001.0	0.96
chr1	899181.0	899183.0	0.94
chr1	899433.0	899435.0	0.75
chr1	900423.0	900425.0	0.69
chr1	900549.0	900551.0	0.32
chr1	900831.0	900833.0	0.12
chr1	900944.0	900946.0	0.05
chr1	901061.0	901063.0	0.28
chr1	901448.0	901450.0	0.09
chr1	901684.0	901686.0	0.07
chr1	901724.0	901726.0	0.03
chr1	901754.0	901756.0	0.07
chr1	901798.0	901800.0	0.5
chr1	901891.0	901893.0	0.26
chr1	902024.0	902026.0	0.34
chr1	902548.0	902550.0	0.44
chr1	902652.0	902654.0	0.49
chr1	903542.0	903544.0	0.76
chr1	906362.0	906364.0	0.4
chr1	906492.0	906494.0	0.61
chr1	906964.0	906966.0	0.67
chr1	907117.0	907119.0	0.48
chr1	907617.0	907619.0	0.26
chr1	907637.0	907639.0	0.37
chr1	907707.0	907709.0	0.2
chr1	909319.0	909321.0	0.56
chr1	910222.0	910224.0	0.52
chr1	911600.0	911602.0	0.52
chr1	911994.0	911996.0	0.54
chr1	912054.0	912056.0	0.45
chr1	914381.0	914383.0	0.57
chr1	916057.0	916059.0	0.43
chr1	916497.0	916499.0	0.33
chr1	916862.0	916864.0	0.38
chr1	917117.0	917119.0	0.5
chr1	917248.0	917250.0	0.61
chr1	917641.0	917643.0	0.5
chr1	917654.0	917656.0	0.38
chr1	917660.0	917662.0	0.05
chr1	917818.0	917820.0	0.04
chr1	917891.0	917893.0	0.67
chr1	918414.0	918416.0	0.92
chr1	918695.0	918697.0	0.67
chr1	919421.0	919423.0	0.37
chr1	919730.0	919732.0	0.51
chr1	919915.0	919917.0	0.65
chr1	920579.0	920581.0	0.32
chr1	922009.0	922011.0	0.45
chr1	931326.0	931328.0	0.28
chr1	933305.0	933307.0	0.01
chr1	933387.0	933389.0	0.36
chr1	933684.0	933686.0	0.4
chr1	933986.0	933988.0	0.12
chr1	934035.0	934037.0	0.6
chr1	934196.0	934198.0	0.54
chr1	934408.0	934410.0	0.03
chr1	934661.0	934663.0	0.09
chr1	934906.0	934908.0	0.38
chr1	935138.0	935140.0	0.02
chr1	935455.0	935457.0	0.07
chr1	935860.0	935862.0	0.02
chr1	935862.0	935864.0	0.22
chr1	936090.0	936092.0	0.08
chr1	936228.0	936230.0	0.06
chr1	936345.0	936347.0	0.27
chr1	936499.0	936501.0	0.08
chr1	936609.0	936611.0	0.56
chr1	936896.0	936898.0	0.7
chr1	936913.0	936915.0	0.01
chr1	937047.0	937049.0	0.78
chr1	937408.0	937410.0	0.5
chr1	938904.0	938906.0	0.76
chr1	939447.0	939449.0	0.53
chr1	940781.0	940783.0	0.88
chr1	941381.0	941383.0	0.95
chr1	942160.0	942162.0	0.98
chr1	942197.0	942199.0	0.86
chr1	942294.0	942296.0	0.95
chr1	942450.0	942452.0	0.97
chr1	942470.0	942472.0	0.69
chr1	942488.0	942490.0	0.65
chr1	942497.0	942499.0	0.9
chr1	942695.0	942697.0	0.92
chr1	943063.0	943065.0	0.95
chr1	943430.0	943432.0	0.88
chr1	944092.0	944094.0	0.55
chr1	944438.0	944440.0	0.91
chr1	945320.0	945322.0	0.85
chr1	945415.0	945417.0	0.69
chr1	946098.0	946100.0	0.93
chr1	946443.0	946445.0	0.96
chr1	946674.0	946676.0	0.64
chr1	946874.0	946876.0	0.92
chr1	947002.0	947004.0	0.87
chr1	947017.0	947019.0	0.15
chr1	947152.0	947154.0	0.03
chr1	947209.0	947211.0	0.07
chr1	947342.0	947344.0	0.03
chr1	948624.0	948626.0	0.6
chr1	948626.0	948628.0	0.69
chr1	948739.0	948741.0	0.83
chr1	948878.0	948880.0	0.74
chr1	948892.0	948894.0	0.62
chr1	949391.0	949393.0	0.58
chr1	949633.0	949635.0	0.14
chr1	949849.0	949851.0	0.12
chr1	949892.0	949894.0	0.02
chr1	950970.0	950972.0	0.08
chr1	952793.0	952795.0	0.01
chr1	954618.0	954620.0	0.03
chr1	954630.0	954632.0	0.06
chr1	955082.0	955084.0	0.0
chr1	955146.0	955148.0	0.01
chr1	955162.0	955164.0	0.01
chr1	955462.0	955464.0	0.03
chr1	955700.0	955702.0	0.01
chr1	955719.0	955721.0	0.72
chr1	956107.0	956109.0	0.86
chr1	956216.0	956218.0	0.69
chr1	956298.0	956300.0	0.7
chr1	956798.0	956800.0	0.77
chr1	957118.0	957120.0	0.86
chr1	958273.0	958275.0	0.9
chr1	958350.0	958352.0	0.92
chr1	960760.0	960762.0	0.98
chr1	962650.0	962652.0	0.93
chr1	963598.0	963600.0	0.78
chr1	963886.0	963888.0	0.73
chr1	963895.0	963897.0	0.6
chr1	964496.0	964498.0	0.83
chr1	964505.0	964507.0	0.65
chr1	967560.0	967562.0	0.72
chr1	967966.0	967968.0	0.72
chr1	968394.0	968396.0	0.61
chr1	968557.0	968559.0	0.79
chr1	969041.0	969043.0	0.69
chr1	969253.0	969255.0	0.76
chr1	969256.0	969258.0	0.83
chr1	969743.0	969745.0	0.61
chr1	969824.0	969826.0	0.82
chr1	970236.0	970238.0	0.64
chr1	970293.0	970295.0	0.44
chr1	972224.0	972226.0	0.48
chr1	973594.0	973596.0	0.37
chr1	973886.0	973888.0	0.41
chr1	975550.0	975552.0	0.92
chr1	975666.0	975668.0	0.98
chr1	976167.0	976169.0	0.88
chr1	976171.0	976173.0	0.87
chr1	976226.0	976228.0	0.93
chr1	976706.0	976708.0	0.89
chr1	977002.0	977004.0	0.98
chr1	977895.0	977897.0	0.98
chr1	978213.0	978215.0	0.93
chr1	978397.0	978399.0	0.93
chr1	978572.0	978574.0	0.98
chr1	978663.0	978665.0	0.9
chr1	978666.0	978668.0	0.86
chr1	979267.0	979269.0	0.98
chr1	979483.0	979485.0	0.55
chr1	979588.0	979590.0	0.99
chr1	980111.0	980113.0	0.76
chr1	980303.0	980305.0	0.98
chr1	981163.0	981165.0	0.82
chr1	981221.0	981223.0	0.96
chr1	981391.0	981393.0	0.87
chr1	981565.0	981567.0	0.84
chr1	982188.0	982190.0	0.92
chr1	982224.0	982226.0	0.86
chr1	982307.0	982309.0	0.92
chr1	982490.0	982492.0	0.91
chr1	982917.0	982919.0	0.86
chr1	983038.0	983040.0	0.67
chr1	983259.0	983261.0	0.98
chr1	983385.0	983387.0	0.97
chr1	983610.0	983612.0	0.96
chr1	984382.0	984384.0	0.89
chr1	984427.0	984429.0	0.93
chr1	984991.0	984993.0	0.75
chr1	985238.0	985240.0	0.92
chr1	985392.0	985394.0	0.54
chr1	986036.0	986038.0	0.8
chr1	986559.0	986561.0	0.98
chr1	986893.0	986895.0	0.83
chr1	987501.0	987503.0	0.95
chr1	988622.0	988624.0	0.87
chr1	989223.0	989225.0	0.93
chr1	989304.0	989306.0	0.81
chr1	989391.0	989393.0	0.77
chr1	990292.0	990294.0	0.75
chr1	990556.0	990558.0	0.07
chr1	991532.0	991534.0	0.05
chr1	991566.0	991568.0	0.08
chr1	991707.0	991709.0	0.02
chr1	993579.0	993581.0	0.02
chr1	994497.0	994499.0	0.05
chr1	994581.0	994583.0	0.56
chr1	994636.0	994638.0	0.18
chr1	995012.0	995014.0	0.88
chr1	995020.0	995022.0	0.85
chr1	995179.0	995181.0	0.31
chr1	996053.0	996055.0	0.38
chr1	996293.0	996295.0	0.03
chr1	997268.0	997270.0	0.01
chr1	997857.0	997859.0	0.03
chr1	998637.0	998639.0	0.06
chr1	999598.0	999600.0	0.63
chr1	999825.0	999827.0	0.31
chr1	999887.0	999889.0	0.52
chr1	1000855.0	1000857.0	0.96
chr1	1001510.0	1001512.0	0.54
chr1	1001866.0	1001868.0	0.69
chr1	1001972.0	1001974.0	0.61
chr1	1002067.0	1002069.0	0.53
chr1	1002663.0	1002665.0	0.34
chr1	1003125.0	1003127.0	0.1
chr1	1003375.0	1003377.0	0.03
chr1	1003416.0	1003418.0	0.01
chr1	1003528.0	1003530.0	0.01
chr1	1003754.0	1003756.0	0.2
chr1	1003850.0	1003852.0	0.64
chr1	1004259.0	1004261.0	0.57
chr1	1004463.0	1004465.0	0.46
chr1	1004774.0	1004776.0	0.52
chr1	1005099.0	1005101.0	0.44
chr1	1005169.0	1005171.0	0.47
chr1	1005397.0	1005399.0	0.51
chr1	1010637.0	1010639.0	0.19
chr1	1011559.0	1011561.0	0.27
chr1	1012525.0	1012527.0	0.39
chr1	1013275.0	1013277.0	0.64
chr1	1014355.0	1014357.0	0.87
chr1	1014977.0	1014979.0	0.91
chr1	1015391.0	1015393.0	0.97
chr1	1015446.0	1015448.0	0.98
chr1	1016469.0	1016471.0	0.98
chr1	1017018.0	1017020.0	0.96
chr1	1017114.0	1017116.0	0.8
chr1	1017317.0	1017319.0	0.98
chr1	1017382.0	1017384.0	0.96
chr1	1018253.0	1018255.0	0.91
chr1	1018478.0	1018480.0	0.75
chr1	1019859.0	1019861.0	0.88
chr1	1019901.0	1019903.0	0.98
chr1	1019952.0	1019954.0	0.69
chr1	1020001.0	1020003.0	0.81
chr1	1020364.0	1020366.0	0.87
chr1	1020737.0	1020739.0	0.72
chr1	1020819.0	1020821.0	0.79
chr1	1021028.0	1021030.0	0.7
chr1	1021209.0	1021211.0	0.9
chr1	1021298.0	1021300.0	0.89
chr1	1022529.0	1022531.0	0.94
chr1	1022931.0	1022933.0	0.89
chr1	1022994.0	1022996.0	0.73
chr1	1023162.0	1023164.0	0.66
chr1	1023246.0	1023248.0	0.89
chr1	1023280.0	1023282.0	0.98
chr1	1023318.0	1023320.0	0.77
chr1	1023890.0	1023892.0	0.86
chr1	1024211.0	1024213.0	0.95
chr1	1024412.0	1024414.0	0.98
chr1	1024512.0	1024514.0	0.98
chr1	1024607.0	1024609.0	0.9
chr1	1026254.0	1026256.0	0.85
chr1	1026409.0	1026411.0	0.96
chr1	1027519.0	1027521.0	0.9
chr1	1027715.0	1027717.0	0.98
chr1	1034420.0	1034422.0	0.87
chr1	1042419.0	1042421.0	0.86
chr1	1042450.0	1042452.0	0.69
chr1	1044286.0	1044288.0	0.9
chr1	1045381.0	1045383.0	0.98
chr1	1045505.0	1045507.0	0.93
chr1	1046163.0	1046165.0	0.95
chr1	1046229.0	1046231.0	0.97
chr1	1046323.0	1046325.0	0.77
chr1	1047096.0	1047098.0	0.36
chr1	1047474.0	1047476.0	0.08
chr1	1049863.0	1049865.0	0.34
chr1	1050109.0	1050111.0	0.02
chr1	1050209.0	1050211.0	0.01
chr1	1050578.0	1050580.0	0.04
chr1	1050689.0	1050691.0	0.06
chr1	1050736.0	1050738.0	0.01
chr1	1051363.0	1051365.0	0.01
chr1	1051536.0	1051538.0	0.01
chr1	1051656.0	1051658.0	0.06
chr1	1051710.0	1051712.0	0.44
chr1	1051894.0	1051896.0	0.42
chr1	1051906.0	1051908.0	0.65
chr1	1052093.0	1052095.0	0.38
chr1	1052296.0	1052298.0	0.94
chr1	1052663.0	1052665.0	0.62
chr1	1052948.0	1052950.0	0.01
chr1	1053026.0	1053028.0	0.59
chr1	1053793.0	1053795.0	0.95
chr1	1053899.0	1053901.0	0.42
chr1	1056346.0	1056348.0	0.69
chr1	1057682.0	1057684.0	0.76
chr1	1058076.0	1058078.0	0.63
chr1	1058438.0	1058440.0	0.61
chr1	1058657.0	1058659.0	0.64
chr1	1061520.0	1061522.0	0.59
chr1	1061584.0	1061586.0	0.73
chr1	1061646.0	1061648.0	0.57
chr1	1062236.0	1062238.0	0.52
chr1	1062792.0	1062794.0	0.57
chr1	1063185.0	1063187.0	0.57
chr1	1063526.0	1063528.0	0.57
chr1	1063856.0	1063858.0	0.55
chr1	1065027.0	1065029.0	0.71
chr1	1065863.0	1065865.0	0.65
chr1	1065893.0	1065895.0	0.48
chr1	1066086.0	1066088.0	0.4
chr1	1066543.0	1066545.0	0.47
chr1	1067098.0	1067100.0	0.87
chr1	1067162.0	1067164.0	0.55
chr1	1067222.0	1067224.0	0.64
chr1	1067396.0	1067398.0	0.43
chr1	1068088.0	1068090.0	0.43
chr1	1069928.0	1069930.0	0.05
chr1	1070039.0	1070041.0	0.09
chr1	1070324.0	1070326.0	0.06
chr1	1072196.0	1072198.0	0.5
chr1	1072369.0	1072371.0	0.48
chr1	1072641.0	1072643.0	0.5
chr1	1072838.0	1072840.0	0.57
chr1	1073423.0	1073425.0	0.81
chr1	1073509.0	1073511.0	0.54
chr1	1073528.0	1073530.0	0.7
chr1	1074225.0	1074227.0	0.85
chr1	1074332.0	1074334.0	0.49
chr1	1076165.0	1076167.0	0.7
chr1	1076295.0	1076297.0	0.55
chr1	1076430.0	1076432.0	0.78
chr1	1078294.0	1078296.0	0.36
chr1	1078518.0	1078520.0	0.33
chr1	1078900.0	1078902.0	0.28
chr1	1079170.0	1079172.0	0.63
chr1	1079259.0	1079261.0	0.66
chr1	1079560.0	1079562.0	0.31
chr1	1079878.0	1079880.0	0.65
chr1	1083641.0	1083643.0	0.71
chr1	1084146.0	1084148.0	0.57
chr1	1084472.0	1084474.0	0.01
chr1	1086776.0	1086778.0	0.14
chr1	1086835.0	1086837.0	0.03
chr1	1089667.0	1089669.0	0.05
chr1	1091668.0	1091670.0	0.41
chr1	1092939.0	1092941.0	0.42
chr1	1093211.0	1093213.0	0.62
chr1	1093334.0	1093336.0	0.59
chr1	1093456.0	1093458.0	0.57
chr1	1093939.0	1093941.0	0.62
chr1	1094079.0	1094081.0	0.56
chr1	1095606.0	1095608.0	0.54
chr1	1095736.0	1095738.0	0.47
chr1	1096716.0	1096718.0	0.62
chr1	1096764.0	1096766.0	0.27
chr1	1097026.0	1097028.0	0.52
chr1	1097178.0	1097180.0	0.47
chr1	1097232.0	1097234.0	0.59
chr1	1097269.0	1097271.0	0.53
chr1	1098000.0	1098002.0	0.65
chr1	1098069.0	1098071.0	0.68
chr1	1098379.0	1098381.0	0.58
chr1	1098899.0	1098901.0	0.84
chr1	1098991.0	1098993.0	0.56
chr1	1099050.0	1099052.0	0.38
chr1	1099165.0	1099167.0	0.52
chr1	1099562.0	1099564.0	0.65
chr1	1099582.0	1099584.0	0.4
chr1	1099629.0	1099631.0	0.51
chr1	1099650.0	1099652.0	0.46
chr1	1100125.0	1100127.0	0.24
chr1	1100359.0	1100361.0	0.57
chr1	1100492.0	1100494.0	0.45
chr1	1100556.0	1100558.0	0.59
chr1	1101347.0	1101349.0	0.57
chr1	1101430.0	1101432.0	0.54
chr1	1101461.0	1101463.0	0.59
chr1	1102275.0	1102277.0	0.7
chr1	1102293.0	1102295.0	0.49
chr1	1102388.0	1102390.0	0.5
chr1	1102416.0	1102418.0	0.55
chr1	1102445.0	1102447.0	0.59
chr1	1102832.0	1102834.0	0.52
chr1	1102959.0	1102961.0	0.45
chr1	1103224.0	1103226.0	0.42
chr1	1103234.0	1103236.0	0.56
chr1	1103265.0	1103267.0	0.57
chr1	1103311.0	1103313.0	0.49
chr1	1104256.0	1104258.0	0.56
chr1	1104264.0	1104266.0	0.49
chr1	1104315.0	1104317.0	0.54
chr1	1104365.0	1104367.0	0.48
chr1	1104398.0	1104400.0	0.49
chr1	1104461.0	1104463.0	0.36
chr1	1105316.0	1105318.0	0.46
chr1	1105517.0	1105519.0	0.53
chr1	1106174.0	1106176.0	0.24
chr1	1107438.0	1107440.0	0.16
chr1	1108819.0	1108821.0	0.09
chr1	1108923.0	1108925.0	0.56
chr1	1109011.0	1109013.0	0.52
chr1	1109191.0	1109193.0	0.8
chr1	1109243.0	1109245.0	0.6
chr1	1109314.0	1109316.0	0.6
chr1	1109485.0	1109487.0	0.6
chr1	1109675.0	1109677.0	0.42
chr1	1109982.0	1109984.0	0.48
chr1	1110106.0	1110108.0	0.51
chr1	1111094.0	1111096.0	0.64
chr1	1113500.0	1113502.0	0.48
chr1	1113623.0	1113625.0	0.51
chr1	1114171.0	1114173.0	0.53
chr1	1114522.0	1114524.0	0.43
chr1	1114578.0	1114580.0	0.54
chr1	1114697.0	1114699.0	0.49
chr1	1114962.0	1114964.0	0.58
chr1	1115069.0	1115071.0	0.6
chr1	1115082.0	1115084.0	0.47
chr1	1115377.0	1115379.0	0.49
chr1	1115460.0	1115462.0	0.27
chr1	1115574.0	1115576.0	0.47
chr1	1115728.0	1115730.0	0.24
chr1	1115919.0	1115921.0	0.36
chr1	1117472.0	1117474.0	0.3
chr1	1117561.0	1117563.0	0.53
chr1	1117624.0	1117626.0	0.6
chr1	1118156.0	1118158.0	0.68
chr1	1118337.0	1118339.0	0.58
chr1	1118390.0	1118392.0	0.58
chr1	1118933.0	1118935.0	0.75
chr1	1120616.0	1120618.0	0.56
chr1	1121085.0	1121087.0	0.74
chr1	1131982.0	1131984.0	0.92
chr1	1132851.0	1132853.0	0.57
chr1	1132961.0	1132963.0	0.69
chr1	1132975.0	1132977.0	0.33
chr1	1133214.0	1133216.0	0.42
chr1	1133247.0	1133249.0	0.02
chr1	1133549.0	1133551.0	0.11
chr1	1135491.0	1135493.0	0.08
chr1	1135954.0	1135956.0	0.03
chr1	1136400.0	1136402.0	0.49
chr1	1136429.0	1136431.0	0.73
chr1	1136666.0	1136668.0	0.53
chr1	1137098.0	1137100.0	0.52
chr1	1137116.0	1137118.0	0.6
chr1	1138930.0	1138932.0	0.12
chr1	1139060.0	1139062.0	0.01
chr1	1139602.0	1139604.0	0.07
chr1	1140043.0	1140045.0	0.09
chr1	1140663.0	1140665.0	0.01
chr1	1141616.0	1141618.0	0.06
chr1	1141789.0	1141791.0	0.07
chr1	1141933.0	1141935.0	0.2
chr1	1141990.0	1141992.0	0.55
chr1	1142131.0	1142133.0	0.43
chr1	1142214.0	1142216.0	0.62
chr1	1142253.0	1142255.0	0.25
chr1	1142404.0	1142406.0	0.26
chr1	1142616.0	1142618.0	0.38
chr1	1142891.0	1142893.0	0.25
chr1	1142931.0	1142933.0	0.2
chr1	1143750.0	1143752.0	0.37
chr1	1144011.0	1144013.0	0.59
chr1	1144202.0	1144204.0	0.52
chr1	1144557.0	1144559.0	0.64
chr1	1144657.0	1144659.0	0.64
chr1	1144723.0	1144725.0	0.25
chr1	1145617.0	1145619.0	0.46
chr1	1145847.0	1145849.0	0.32
chr1	1146776.0	1146778.0	0.39
chr1	1146902.0	1146904.0	0.31
chr1	1148314.0	1148316.0	0.51
chr1	1148972.0	1148974.0	0.83
chr1	1149191.0	1149193.0	0.46
chr1	1149210.0	1149212.0	0.4
chr1	1149500.0	1149502.0	0.42
chr1	1149660.0	1149662.0	0.66
chr1	1150321.0	1150323.0	0.69
chr1	1150409.0	1150411.0	0.97
chr1	1150415.0	1150417.0	0.73
chr1	1150935.0	1150937.0	0.95
chr1	1152546.0	1152548.0	0.74
chr1	1152579.0	1152581.0	0.98
chr1	1152913.0	1152915.0	0.89
chr1	1153337.0	1153339.0	0.95
chr1	1153689.0	1153691.0	0.76
chr1	1153923.0	1153925.0	0.97
chr1	1154156.0	1154158.0	0.94
chr1	1154317.0	1154319.0	0.9
chr1	1154346.0	1154348.0	0.97
chr1	1154852.0	1154854.0	0.98
chr1	1155025.0	1155027.0	0.93
chr1	1155730.0	1155732.0	0.89
chr1	1157540.0	1157542.0	0.9
chr1	1157683.0	1157685.0	0.97
chr1	1158080.0	1158082.0	0.97
chr1	1158324.0	1158326.0	0.9
chr1	1158647.0	1158649.0	0.93
chr1	1159411.0	1159413.0	0.96
chr1	1160712.0	1160714.0	0.98
chr1	1161381.0	1161383.0	0.95
chr1	1161865.0	1161867.0	0.89
chr1	1162155.0	1162157.0	0.98
chr1	1162175.0	1162177.0	0.96
chr1	1162279.0	1162281.0	0.97
chr1	1162995.0	1162997.0	0.97
chr1	1163670.0	1163672.0	0.94
chr1	1163885.0	1163887.0	0.07
chr1	1163893.0	1163895.0	0.03
chr1	1163949.0	1163951.0	0.01
chr1	1164536.0	1164538.0	0.01
chr1	1165392.0	1165394.0	0.01
chr1	1166823.0	1166825.0	0.6
chr1	1166915.0	1166917.0	0.98
chr1	1167309.0	1167311.0	0.98
chr1	1167314.0	1167316.0	0.98
chr1	1167388.0	1167390.0	0.97
chr1	1168431.0	1168433.0	0.72
chr1	1168540.0	1168542.0	0.71
chr1	1168549.0	1168551.0	0.26
chr1	1169393.0	1169395.0	0.4
chr1	1169971.0	1169973.0	0.16
chr1	1170068.0	1170070.0	0.53
chr1	1171951.0	1171953.0	0.61
chr1	1173263.0	1173265.0	0.35
chr1	1173355.0	1173357.0	0.9
chr1	1173621.0	1173623.0	0.39
chr1	1173915.0	1173917.0	0.88
chr1	1174189.0	1174191.0	0.89
chr1	1175369.0	1175371.0	0.6
chr1	1175850.0	1175852.0	0.74
chr1	1176375.0	1176377.0	0.67
chr1	1177885.0	1177887.0	0.81
chr1	1178038.0	1178040.0	0.54
chr1	1178044.0	1178046.0	0.61
chr1	1178190.0	1178192.0	0.63
chr1	1178244.0	1178246.0	0.27
chr1	1179746.0	1179748.0	0.04
chr1	1181756.0	1181758.0	0.08
chr1	1181768.0	1181770.0	0.03
chr1	1181955.0	1181957.0	0.51
chr1	1182417.0	1182419.0	0.68
chr1	1182657.0	1182659.0	0.97
chr1	1183256.0	1183258.0	0.98
chr1	1183527.0	1183529.0	0.99
chr1	1186356.0	1186358.0	0.85
chr1	1187973.0	1187975.0	0.08
chr1	1188172.0	1188174.0	0.98
chr1	1189465.0	1189467.0	0.97
chr1	1189639.0	1189641.0	0.94
chr1	1190095.0	1190097.0	0.94
chr1	1190136.0	1190138.0	0.97
chr1	1190237.0	1190239.0	0.87
chr1	1190522.0	1190524.0	0.96
chr1	1190540.0	1190542.0	0.89
chr1	1190557.0	1190559.0	0.93
chr1	1190668.0	1190670.0	0.93
chr1	1190777.0	1190779.0	0.82
chr1	1190797.0	1190799.0	0.91
chr1	1190931.0	1190933.0	0.74
chr1	1193745.0	1193747.0	0.57
chr1	1194602.0	1194604.0	0.82
chr1	1196724.0	1196726.0	0.96
chr1	1196746.0	1196748.0	0.93
chr1	1197094.0	1197096.0	0.96
chr1	1197535.0	1197537.0	0.93
chr1	1198046.0	1198048.0	0.82
chr1	1198268.0	1198270.0	0.99
chr1	1199717.0	1199719.0	0.97
chr1	1201630.0	1201632.0	0.93
chr1	1203166.0	1203168.0	0.93
chr1	1203255.0	1203257.0	0.96
chr1	1203449.0	1203451.0	0.87
chr1	1203563.0	1203565.0	0.68
chr1	1203659.0	1203661.0	0.09
chr1	1204352.0	1204354.0	0.08
chr1	1206371.0	1206373.0	0.01
chr1	1207788.0	1207790.0	0.01
chr1	1208425.0	1208427.0	0.05
chr1	1208572.0	1208574.0	0.05
chr1	1208708.0	1208710.0	0.01
chr1	1209195.0	1209197.0	0.73
chr1	1209695.0	1209697.0	0.92
chr1	1209719.0	1209721.0	0.81
chr1	1210099.0	1210101.0	0.49
chr1	1214600.0	1214602.0	0.49
chr1	1214621.0	1214623.0	0.47
chr1	1216346.0	1216348.0	0.48
chr1	1216440.0	1216442.0	0.42
chr1	1217102.0	1217104.0	0.24
chr1	1217129.0	1217131.0	0.41
chr1	1217158.0	1217160.0	0.79
chr1	1217510.0	1217512.0	0.54
chr1	1217657.0	1217659.0	0.39
chr1	1217663.0	1217665.0	0.53
chr1	1220091.0	1220093.0	0.61
chr1	1221822.0	1221824.0	0.52
chr1	1222894.0	1222896.0	0.38
