filename	status	role	genome_build	source_repository	source_accession	source_url	source_filename	processing	used_by	notes
GSM5652250_Pancreas-Beta-Z00000452.hg38.beta	required_input	Pancreatic beta-cell healthy-reference WGBS methylation	hg38	NCBI GEO	GSE186458; GSM5652250	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5652250	GSM5652250_Pancreas-Beta-Z00000452.hg38.beta	Downloaded without renaming	Region-calling benchmark	Processed methylation-atlas beta file.
GSM5652251_Pancreas-Beta-Z00000455.beta	required_input	Pancreatic beta-cell healthy-reference WGBS methylation	hg19	NCBI GEO	GSE186458; GSM5652251	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5652251	GSM5652251_Pancreas-Beta-Z00000455.beta	Downloaded without renaming	Region-calling and synthetic benchmarks	Processed methylation-atlas beta file.
GSM5652251_Pancreas-Beta-Z00000455.hg38.beta	required_input	Pancreatic beta-cell healthy-reference WGBS methylation	hg38	NCBI GEO	GSE186458; GSM5652251	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5652251	GSM5652251_Pancreas-Beta-Z00000455.hg38.beta	Downloaded without renaming	Region-calling benchmark	Processed methylation-atlas beta file.
GSM5652348_Breast-Luminal-Epithelial-Z000000VJ.beta	required_input	Breast luminal epithelial healthy-reference WGBS methylation	hg19	NCBI GEO	GSE186458; GSM5652348	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5652348	GSM5652348_Breast-Luminal-Epithelial-Z000000VJ.beta	Downloaded without renaming	Region-calling and synthetic benchmarks	Processed methylation-atlas beta file.
GSM5652348_Breast-Luminal-Epithelial-Z000000VJ.hg38.beta	required_input	Breast luminal epithelial healthy-reference WGBS methylation	hg38	NCBI GEO	GSE186458; GSM5652348	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5652348	GSM5652348_Breast-Luminal-Epithelial-Z000000VJ.hg38.beta	Downloaded without renaming	Region-calling benchmark	Processed methylation-atlas beta file.
GSM5652349_Breast-Luminal-Epithelial-Z000000VN.beta	required_input	Breast luminal epithelial healthy-reference WGBS methylation	hg19	NCBI GEO	GSE186458; GSM5652349	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5652349	GSM5652349_Breast-Luminal-Epithelial-Z000000VN.beta	Downloaded without renaming	Region-calling and synthetic benchmarks	Processed methylation-atlas beta file.
GSM5652349_Breast-Luminal-Epithelial-Z000000VN.hg38.beta	required_input	Breast luminal epithelial healthy-reference WGBS methylation	hg38	NCBI GEO	GSE186458; GSM5652349	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5652349	GSM5652349_Breast-Luminal-Epithelial-Z000000VN.hg38.beta	Downloaded without renaming	Region-calling benchmark	Processed methylation-atlas beta file.
GSM5652350_Breast-Basal-Epithelial-Z000000V6.beta	required_input	Breast basal epithelial healthy-reference WGBS methylation	hg19	NCBI GEO	GSE186458; GSM5652350	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5652350	GSM5652350_Breast-Basal-Epithelial-Z000000V6.beta	Downloaded without renaming	Region-calling and synthetic benchmarks	Processed methylation-atlas beta file.
GSM5652350_Breast-Basal-Epithelial-Z000000V6.hg38.beta	required_input	Breast basal epithelial healthy-reference WGBS methylation	hg38	NCBI GEO	GSE186458; GSM5652350	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5652350	GSM5652350_Breast-Basal-Epithelial-Z000000V6.hg38.beta	Downloaded without renaming	Region-calling benchmark	Processed methylation-atlas beta file.
GSM5652351_Breast-Basal-Epithelial-Z000000VG.beta	required_input	Breast basal epithelial healthy-reference WGBS methylation	hg19	NCBI GEO	GSE186458; GSM5652351	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5652351	GSM5652351_Breast-Basal-Epithelial-Z000000VG.beta	Downloaded without renaming	Region-calling and synthetic benchmarks	Processed methylation-atlas beta file.
GSM5652351_Breast-Basal-Epithelial-Z000000VG.hg38.beta	required_input	Breast basal epithelial healthy-reference WGBS methylation	hg38	NCBI GEO	GSE186458; GSM5652351	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5652351	GSM5652351_Breast-Basal-Epithelial-Z000000VG.hg38.beta	Downloaded without renaming	Region-calling benchmark	Processed methylation-atlas beta file.
GSM5652352_Breast-Basal-Epithelial-Z000000VL.beta	required_input	Breast basal epithelial healthy-reference WGBS methylation	hg19	NCBI GEO	GSE186458; GSM5652352	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5652352	GSM5652352_Breast-Basal-Epithelial-Z000000VL.beta	Downloaded without renaming	Region-calling and synthetic benchmarks	Processed methylation-atlas beta file.
GSM5652352_Breast-Basal-Epithelial-Z000000VL.hg38.beta	required_input	Breast basal epithelial healthy-reference WGBS methylation	hg38	NCBI GEO	GSE186458; GSM5652352	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5652352	GSM5652352_Breast-Basal-Epithelial-Z000000VL.hg38.beta	Downloaded without renaming	Region-calling benchmark	Processed methylation-atlas beta file.
GSM5652353_Breast-Basal-Epithelial-Z0000043E.beta	required_input	Breast basal epithelial healthy-reference WGBS methylation	hg19	NCBI GEO	GSE186458; GSM5652353	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5652353	GSM5652353_Breast-Basal-Epithelial-Z0000043E.beta	Downloaded without renaming	Region-calling and synthetic benchmarks	Processed methylation-atlas beta file.
GSM5652353_Breast-Basal-Epithelial-Z0000043E.hg38.beta	required_input	Breast basal epithelial healthy-reference WGBS methylation	hg38	NCBI GEO	GSE186458; GSM5652353	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5652353	GSM5652353_Breast-Basal-Epithelial-Z0000043E.hg38.beta	Downloaded without renaming	Region-calling benchmark	Processed methylation-atlas beta file.
GSM5652370_Colon-Right-Epithelial-Z000000V0.beta	required_elsewhere	Right-colon epithelial healthy-reference WGBS methylation	hg19	NCBI GEO	GSE186458; GSM5652370	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5652370	GSM5652370_Colon-Right-Epithelial-Z000000V0.beta	Downloaded without renaming	HM450K-resolution and figure workflow	One of the ten paper-listed healthy references; intentionally absent from the 25 active region-calling configs.
GSM5652370_Colon-Right-Epithelial-Z000000V0.hg38.beta	required_elsewhere	Right-colon epithelial healthy-reference WGBS methylation	hg38	NCBI GEO	GSE186458; GSM5652370	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5652370	GSM5652370_Colon-Right-Epithelial-Z000000V0.hg38.beta	Downloaded without renaming	HM450K-resolution and figure workflow	One of the ten paper-listed healthy references; intentionally absent from the 25 active region-calling configs.
GSM5652370_Colon-Right-Epithelial-Z000000V0.hg38.bigwig	required_elsewhere	Right-colon epithelial WGBS signal used for probe downsampling	hg38	NCBI GEO	GSE186458; GSM5652370	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5652370	GSM5652370_Colon-Right-Epithelial-Z000000V0.hg38.bigwig	Downloaded without renaming	HM450K-resolution and figure workflow	Input to the derived files below.
450k_data/HM450K_hg38_locations.bed	derived_input	HM450K probe locations	hg38	Bioconductor; UCSC	IlluminaHumanMethylation450kanno.ilmn12.hg19 0.6.1	https://bioconductor.org/packages/IlluminaHumanMethylation450kanno.ilmn12.hg19/	Locations dataset	Generated by microarray_data_prep.r and lifted with reference_data/hg19ToHg38.over.chain	HM450K-resolution and figure workflow	This file is reproducible from the named package version and chain file.
450k_data/GSM5652370_Colon-Right-Epithelial-Z000000V0.hg38.450k.tsv	derived_input	Right-colon WGBS sampled at HM450K probes	hg38	NCBI GEO; Bioconductor	GSM5652370; IlluminaHumanMethylation450kanno.ilmn12.hg19 0.6.1	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5652370	GSM5652370_Colon-Right-Epithelial-Z000000V0.hg38.bigwig	Generated with 450k_data/wgbs_bigwig_to_450k_bigwig.py	HM450K-resolution and figure workflow	Compact project-derived input underlying the HM450K-resolution visualization.
450k_data/GSM5652370_Colon-Right-Epithelial-Z000000V0.hg38.450k.bigwig	derived_input	Right-colon HM450K-resolution signal track	hg38	NCBI GEO; Bioconductor	GSM5652370; IlluminaHumanMethylation450kanno.ilmn12.hg19 0.6.1	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5652370	GSM5652370_Colon-Right-Epithelial-Z000000V0.hg38.bigwig	Generated with 450k_data/wgbs_bigwig_to_450k_bigwig.py	HM450K-resolution and figure workflow	Visualization form of the accompanying TSV.
